iter	Passed	Remaining
466	4641	5297
467	4649	5284
468	4658	5273
469	4665	5261
470	4674	5249
471	4681	5237
472	4690	5225
473	4698	5213
474	4707	5203
475	4714	5190
476	4722	5178
477	4730	5165
478	4739	5155
479	4746	5141
480	4755	5130
481	4761	5117
482	4772	5108
483	4779	5095
484	4788	5084
485	4795	5071
486	4804	5060
487	4810	5047
488	4819	5036
489	4826	5023
490	4835	5012
491	4842	4999
492	4850	4988
493	4857	4975
494	4866	4964
495	4873	4951
496	4881	4940
497	4888	4927
498	4895	4915
499	4903	4903
500	4910	4890
501	4918	4879
502	4925	4866
503	4934	4856
504	4941	4843
505	4950	4832
506	4956	4819
507	4965	4808
508	4971	4795
509	4980	4785
510	4987	4773
511	4996	4762
512	5003	4749
513	5011	4738
514	5019	4727
515	5028	4716
516	5035	4704
517	5042	4691
518	5051	4681
519	5058	4669
520	5066	4658
521	5075	4647
522	5084	4636
523	5090	4624
524	5099	4614
525	5107	4602
526	5116	4591
527	5123	4579
528	5133	4570
529	5140	4558
530	5148	4547
531	5158	4538
532	5166	4526
533	5174	4515
534	5181	4503
535	5190	4492
536	5197	4480
537	5204	4469
538	5212	4458
539	5219	4446
540	5227	4435
541	5235	4423
542	5243	4413
543	5252	4402
544	5261	4392
545	5269	4381
546	5277	4370
547	5284	4359
548	5293	4348
549	5300	4337
550	5309	4326
551	5316	4314
552	5324	4304
553	5331	4292
554	5339	4281
555	5347	4270
556	5356	4259
557	5363	4248
558	5371	4237
559	5378	4225
560	5386	4215
561	5394	4203
562	5401	4192
563	5408	4181
564	5416	4170
565	5425	4160
566	5432	4148
567	5442	4139
568	5449	4127
569	5457	4116
570	5464	4105
571	5473	4095
572	5480	4083
573	5488	4073
574	5495	4062
575	5504	4051
576	5510	4040
577	5519	4030
578	5527	4018
579	5535	4008
580	5542	3997
581	5551	3987
582	5558	3975
583	5566	3965
584	5574	3954
585	5583	3944
586	5591	3933
587	5598	3923
588	5606	3912
589	5613	3900
590	5622	3890
591	5628	3879
592	5638	3869
593	5645	3858
594	5653	3848
595	5660	3836
596	5668	3826
597	5675	3815
598	5683	3804
599	5692	3794
600	5700	3784
601	5707	3773
602	5715	3763
603	5722	3752
604	5731	3741
605	5738	3730
606	5744	3719
607	5752	3709
608	5759	3697
609	5768	3687
610	5774	3676
611	5783	3666
612	5790	3655
613	5799	3646
614	5806	3635
615	5814	3624
616	5822	3614
617	5830	3604
618	5838	3593
619	5846	3583
620	5853	3572
621	5861	3562
622	5868	3551
623	5875	3540
624	5884	3530
625	5890	3519
626	5899	3509
627	5906	3498
628	5914	3488
629	5921	3477
630	5929	3467
631	5936	3456
632	5946	3447
633	5953	3437
634	5963	3427
635	5970	3416
636	5978	3407
637	5985	3396
638	5994	3386
639	6001	3375
640	6010	3366
641	6016	3355
642	6025	3345
643	6032	3334
644	6039	3323
645	6047	3313
646	6055	3303
647	6063	3293
648	6070	3283
649	6079	3273
650	6088	3263
651	6097	3254
652	6104	3243
653	6113	3234
654	6119	3223
655	6128	3213
656	6135	3203
657	6144	3193
658	6151	3183
659	6159	3173
660	6167	3162
661	6175	3152
662	6182	3142
663	6190	3132
664	6197	3121
665	6204	3111
666	6212	3101
667	6219	3091
668	6227	3081
669	6234	3070
670	6243	3061
671	6250	3050
672	6259	3041
673	6266	3030
674	6274	3021
675	6281	3010
676	6290	3001
677	6296	2990
678	6305	2980
679	6312	2970
680	6320	2960
681	6327	2950
682	6334	2939
683	6342	2930
684	6350	2920
685	6358	2910
686	6365	2900
687	6374	2890
688	6380	2880
689	6389	2870
690	6396	2860
691	6404	2850
692	6411	2840
693	6420	2830
694	6427	2820
695	6435	2810
696	6442	2800
697	6451	2791
698	6459	2781
699	6468	2772
700	6475	2761
701	6484	2752
702	6491	2742
703	6501	2733
704	6508	2723
705	6515	2713
706	6523	2703
707	6530	2693
708	6538	2683
709	6546	2673
710	6554	2664
711	6561	2654
712	6570	2644
713	6577	2634
714	6585	2625
715	6594	2615
716	6602	2605
717	6609	2595
718	6617	2586
719	6624	2576
720	6633	2566
721	6640	2556
722	6649	2547
723	6656	2537
724	6664	2527
725	6671	2517
726	6678	2507
727	6687	2498
728	6694	2488
729	6702	2479
730	6709	2468
731	6717	2459
732	6724	2449
733	6734	2440
734	6741	2430
735	6750	2421
736	6757	2411
737	6765	2401
738	6772	2391
739	6780	2382
740	6788	2372
741	6796	2363
742	6803	2353
743	6810	2343
744	6818	2333
745	6825	2323
746	6833	2314
747	6840	2304
748	6849	2295
749	6856	2285
750	6864	2276
751	6871	2266
752	6879	2256
753	6886	2246
754	6895	2237
755	6901	2227
756	6909	2218
757	6917	2208
758	6924	2198
759	6932	2189
760	6939	2179
761	6948	2170
762	6955	2160
763	6963	2150
764	6970	2141
765	6979	2132
766	6986	2122
767	6995	2113
768	7002	2103
769	7010	2094
770	7017	2084
771	7026	2075
772	7033	2065
773	7040	2055
774	7048	2046
775	7056	2036
776	7064	2027
777	7071	2017
778	7079	2008
779	7087	1999
780	7097	1990
781	7104	1980
782	7113	1971
783	7120	1961
784	7128	1952
785	7137	1943
786	7145	1933
787	7152	1924
788	7161	1915
789	7168	1905
790	7176	1896
791	7183	1886
792	7192	1877
793	7199	1867
794	7208	1858
795	7215	1849
796	7223	1839
797	7230	1830
798	7239	1821
799	7245	1811
800	7253	1802
801	7261	1792
802	7269	1783
803	7276	1773
804	7284	1764
805	7292	1755
806	7299	1745
807	7307	1736
808	7314	1726
809	7323	1717
810	7330	1708
811	7339	1699
812	7345	1689
813	7353	1680
814	7361	1670
815	7367	1661
816	7375	1651
817	7381	1642
818	7390	1633
819	7397	1623
820	7406	1614
821	7414	1605
822	7422	1596
823	7429	1586
824	7437	1577
825	7444	1568
826	7453	1559
827	7460	1549
828	7469	1540
829	7476	1531
830	7484	1522
831	7491	1512
832	7498	1503
833	7506	1494
834	7513	1484
835	7523	1475
836	7530	1466
837	7538	1457
838	7545	1447
839	7558	1439
840	7567	1430
841	7574	1421
842	7582	1412
843	7589	1402
844	7596	1393
845	7605	1384
846	7614	1375
847	7621	1366
848	7628	1356
849	7637	1347
850	7644	1338
851	7655	1329
852	7662	1320
853	7670	1311
854	7677	1302
855	7686	1293
856	7694	1283
857	7702	1274
858	7709	1265
859	7717	1256
860	7724	1247
861	7733	1238
862	7741	1228
863	7749	1219
864	7756	1210
865	7765	1201
866	7771	1192
867	7780	1183
868	7787	1173
869	7795	1164
870	7802	1155
871	7810	1146
872	7817	1137
873	7824	1128
874	7834	1119
875	7841	1109
876	7849	1100
877	7856	1091
878	7864	1082
879	7872	1073
880	7880	1064
881	7887	1055
882	7896	1046
883	7904	1037
884	7912	1028
885	7919	1019
886	7928	1010
887	7935	1000
888	7943	991
889	7951	982
890	7959	973
891	7967	964
892	7974	955
893	7982	946
894	7989	937
895	7998	928
896	8005	919
897	8013	910
898	8020	901
899	8028	892
900	8036	883
901	8044	874
902	8051	864
903	8059	855
904	8066	846
905	8074	837
906	8082	828
907	8090	819
908	8096	810
909	8104	801
910	8114	792
911	8123	783
912	8130	774
913	8138	765
914	8145	756
915	8152	747
916	8161	738
917	8168	729
918	8176	720
919	8183	711
920	8192	702
921	8199	693
922	8208	684
923	8215	675
924	8224	666
925	8231	657
926	8240	648
927	8247	639
928	8256	630
929	8262	621
930	8271	613
931	8278	603
932	8285	595
933	8295	586
934	8303	577
935	8310	568
936	8318	559
937	8325	550
938	8333	541
939	8341	532
940	8348	523
941	8356	514
942	8363	505
943	8371	496
944	8378	487
945	8387	478
946	8394	469
947	8402	460
948	8409	451
949	8418	443
950	8426	434
951	8433	425
952	8440	416
953	8447	407
954	8457	398
955	8463	389
956	8472	380
957	8478	371
958	8487	362
959	8495	353
960	8503	345
961	8510	336
962	8518	327
963	8525	318
964	8533	309
965	8541	300
966	8549	291
967	8556	282
968	8563	273
969	8571	265
970	8578	256
971	8586	247
972	8593	238
973	8602	229
974	8608	220
975	8618	211
976	8626	203
977	8634	194
978	8641	185
979	8650	176
980	8656	167
981	8665	158
982	8673	149
983	8682	141
984	8689	132
985	8697	123
986	8705	114
987	8713	105
988	8720	96
989	8726	88
990	8735	79
991	8742	70
992	8750	61
993	8757	52
994	8767	44
995	8774	35
996	8782	26
997	8789	17
998	8797	8
999	8804	0
